procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0 910800 2084800  33144 909132    1  219 18852 30480 15206   31  6  2 90  1  0  0
 1  0 910800 1999612  33144 909204    0    0   224     4 3143 2436 11  2 87  0  0  0
 1  0 910800 1939944  33392 910144    0    0   664   684 5029 4707 13  2 85  1  0  0
 0  0 910800 1939804  34420 910316    0    0  1128  2004 2600 2725  1  1 98  0  0  0
 0  0 910800 1926584  34440 910372    0    0  2107   452 3824 3238  1  1 97  0  0  0
 1  0 910800 1782752 100048 910716    0    0 65872   192 5761 2629  4  2 94  0  0  0
 1  0 910800 1710984 198476 910720    0    0 98304  1540 12128 2883  8  5 87  1  0  0
 0  1 910800 1625848 321388 910728    0    0 122880   116 10417 2542  9  4 87  1  0  0
 1  0 910800 1468444 452492 910864    0    0 131072   108 11731 2706  8  4 87  1  0  0
 1  0 910800 1370404 559016 910868    0    0 106496   112 10836 2550  8  5 87  1  0  0
 2  0 910800 1245160 657352 910876    0    0 98304   264 10846 2855 13  5 82  0  0  0
 3  0 910800 1076984 763856 910892    0    0 106496   156 11640 3097 20  5 74  1  0  0
 2  0 910800 945012 862228 910928    0    0 98304   188 12558 3127 20  6 74  1  0  0
 1  0 910800 875780 968732 910944    0    0 106496    52 12106 2622 16  5 79  0  0  0
 1  0 910800 758700 1107996 910952    0    0 139264  2228 12727 2252  8  5 87  0  0  0
 1  0 910800 641936 1222684 910956    0    0 114688     0 11376 2129  9  4 87  0  0  0
 1  0 910800 530116 1329180 910960    0    0 106496    28 10935 2181  8  4 87  1  0  0
 1  0 910800 453092 1427516 910964    0    0 98304   200 11340 2505  8  5 87  1  0  0
 2  0 910800 349612 1534020 910972    0    0 106496    28 10342 2422 12  5 82  0  0  0
 5  0 910800 237244 1623836 890484    0    0 98304   160 11565 2883 21  5 74  0  0  0
 1  0 910800 330080 1637940 890492    8    0 106504    56 12523 2374 11  5 85  0  0  0
 1  0 910800 456928 1571408 890500    0    0 147456     4 11570 2306  8  5 86  1  0  0
