procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0 910800 2081452  27604 932048    1  277 14176 38438 18047   38  6  3 90  1  0  0
 1  0 910800 1999128  27604 932100    0    0     0     0 2727 1881 11  1 87  0  0  0
 1  0 910800 1973032  28036 932696    0    0   904  2552 5448 5653 13  2 84  1  0  0
 0  0 910800 1970932  29048 933384    8    0  1135   240 2451 2790  1  1 98  0  0  0
 0  0 910800 1962092  29052 933648    0    0  2107     8 3166 2858  1  1 98  0  0  0
 1  0 910800 1839432  94716 933448    0    0 65580  2584 5256 2744  4  1 94  1  0  0
 1  0 910800 1781292  94716 933476    0    0     0     4 4109 1402 11  2 87  0  0  0
 1  0 910800 1739812 143900 933476   16    0 49168   100 4314 1568 12  1 87  0  0  0
 1  0 910800 1708832 193052 933480    0    0 49152     8 5620 1656 11  2 88  0  0  0
 2  0 910800 1672192 242212 933268    0    0 49152    64 5891 1579 10  2 88  0  0  0
 2  0 910800 1580008 299556 933472    0    0 57344     0 6664 1667 15  3 82  0  0  0
 2  0 910800 1534816 299592 933444    0    0     0   256 3945 2166 24  1 75  0  0  0
 2  0 910800 1444480 348844 933536    0    0 49184   300 7927 3200 23  3 73  0  0  0
 1  0 910800 1424880 398012 933664    0    0 49152    64 7508 2093 16  3 81  0  0  0
 1  0 910800 1397064 447164 933692    0    0 49152     0 5964 1439 11  2 88  0  0  0
 3  0 910800 1410368 447212 933708    0    0    64   188 2610 1835 13  0 87  0  0  0
 1  0 910800 1373388 504556 933768    0    0 57344    36 6853 1541 10  2 88  0  0  0
 1  0 910800 1333368 553708 933768    0    0 49152     0 6154 1476 11  2 87  0  0  0
 2  0 910800 1272196 602860 933768    0    0 49152   152 6718 1733 16  3 81  0  0  0
 1  0 910800 1247356 602896 933752    0    0     0   552 4054 2305 23  2 75  0  0  0
 1  0 910800 1216128 652048 933788    0    0 49152  2628 6474 1516 11  2 87  0  0  0
 1  0 910800 1154420 709392 933792    0    0 57344     8 6619 1532 11  2 87  0  0  0
 1  0 910800 1124144 758576 933796    0    0 49152   120 6269 1617 11  2 87  0  0  0
 1  0 910800 1081092 807744 933780    0    0 49152    76 6114 1622 11  3 86  0  0  0
 2  0 910800 1073020 807744 933808    0    0     0     8 2709 1478 12  1 87  0  0  0
 2  0 910800 937568 856928 933796    0    0 49168   112 7449 2370 22  3 75  0  0  0
 1  0 910800 910160 914272 933632    0    0 57344     0 7219 1925 15  3 82  0  0  0
 1  0 910800 850948 963708 934112    0    0 49424  2812 7376 3064 10  3 87  1  0  0
 2  0 910800 865712 963708 934256    0    0     0     8 2364 1467 13  0 87  0  0  0
 1  0 910800 856916 1012868 934252    0    0 49152    36 6276 1605 10  2 87  0  0  0
 1  0 910800 828608 1062020 934100    0    0 49152     0 7438 16007 13  3 85  0  0  0
 2  0 910800 746020 1062032 934292   88    0   124    52 5599 2246 18  3 79  0  0  0
 1  0 910800 697400 1119392 934320    0    0 57344   184 6368 2345 21  3 76  0  0  0
 1  0 910800 662468 1168636 935304  136    0 50264   208 7180 3548 12  2 85  1  0  0
 1  0 910800 600480 1217788 935320    0    0 49152     0 6789 1494 10  2 87  0  0  0
 1  0 910800 610136 1217940 935228    0    0    32   728 3980 3588 14  1 85  0  0  0
