procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0 910800 1941864  36120 916728    6  191 23123 26650 13935   27  6  2 91  1  0  0
 1  0 910800 1857196  36120 916736    0    0     0     0 2968 2102 11  1 87  0  0  0
 0  0 910800 1781596  37464 917260    4    0  1731  2312 5503 5444 12  2 85  1  0  0
 0  0 910800 1785204  37472 917564    0    0     0    44 2097 2039  0  0 99  0  0  0
 0  0 910800 1788448  37540 917968    0    0  2107   244 4508 4103  1  1 98  0  0  0
 1  0 910800 1572908 103132 917848    0    0 65584  3340 6841 2539  4  2 94  0  0  0
 1  0 910800 1484412 201436 917672    0    0 98304    28 13708 2024  6  6 88  0  0  0
 1  0 910800 1435660 250636 917856    0    0 49152   304 13466 2454  6  7 87  0  0  0
 1  0 910800 1337604 357132 917648    0    0 106496     0 13767 1800  7  6 87  0  0  0
 1  0 910800 1233712 455436 917992    0    0 98304     0 12667 1855  7  6 87  0  0  0
 2  0 910800 1098916 561932 917784    0    0 106496    12 16422 2011 11  7 81  0  0  0
 2  0 910800 976468 611092 918012    0    0 49152    56 14202 2819 18  8 75  0  0  0
 2  0 910800 779924 717628 918036    0    0 106496   128 14278 2471 17  8 74  0  0  0
 1  0 910800 812140 815948 918048    0    0 98304   104 13399 2402 12  7 81  0  0  0
 1  0 910800 720824 920612 917880    0    0 98304   104 14708 1944  6  7 87  0  0  0
 1  0 910800 660504 971628 918056    0    0 57344     0 13187 1795  6  6 87  0  0  0
 1  0 910800 565680 1069940 917984    0    0 98304    96 13018 1971  7  6 87  0  0  0
 1  0 910800 470764 1176468 918204    0    0 106496    88 12919 2223  7  6 87  0  0  0
 2  0 910800 381476 1274772 918208    0    0 98304    68 14262 2020 12  7 81  0  0  0
 1  0 910800 303624 1332180 918248    0    0 57360   204 14597 3425 17  8 76  0  0  0
 1  0 910800 228912 1424508 897528    0    0 98304  2400 12645 1963  7  6 87  0  0  0
 1  0 910800 311792 1503100 897832    4    0 106500     8 14402 2165  6  6 87  0  0  0
 1  0 910800 263256 1601404 897748    0    0 98304     0 15783 1948  6  6 87  0  0  0
 1  0 910800 223944 1558988 897484    0    0 49152    64 14869 25010  9  7 84  0  0  0
 2  0 910800 210052 1547468 897536    0    0 106496    80 13434 2001  8  6 85  0  0  0
 2  0 910800 269152 1446092 897832    0    0 98304     0 14180 2297 18  7 75  0  0  0
 1  0 910800 234072 1552588 897780    0    0 106496    12 15362 2484 11  7 82  0  0  0
 1  0 910800 318504 1518832 897764    0    0 49168   128 12912 2365  6  7 87  0  0  0
