procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0 859044 2063264  33744 806172    0   38 11037 12643 6290   12  3  1 96  0  0  0
 2  0 859044 1981388  33768 806180    0    0     0   100 3135 2166 12  2 87  0  0  0
 1  0 859044 1971692  34088 806820    8    0   656  2248 5108 5043 13  2 84  1  0  0
 0  0 859044 1964944  35100 807092    4    0  1155  1932 2982 2793  2  1 97  0  0  0
 0  0 859044 1964036  35104 807156    0    0  2107     8 3416 3004  1  1 98  0  0  0
 1  0 859044 1754488 100740 807256    0    0 65552   324 7132 19514  5  2 92  0  0  0
 1  0 859044 1732328 149932 807300    0    0 49152   264 13310 2385  6  6 88  0  0  0
 1  0 859044 1606960 248236 807308    0    0 98304     4 13668 1879  6  6 87  0  0  0
 1  0 859044 1505552 354788 807456    0    0 106512   288 12673 2563  7  5 87  1  0  0
 1  0 859044 1456300 453092 807460    0    0 98304    12 14147 1935  6  7 87  0  0  0
 2  0 859044 1396228 518628 807252    0    0 65536    12 13707 1916 10  6 83  0  0  0
 2  0 859044 1161860 608748 807464    0    0 90112   104 15239 2609 18  7 75  0  0  0
 2  0 859044 1023492 715284 807496    0    0 106496   132 13639 2425 18  6 75  1  0  0
 1  0 859044 937240 813604 807508    0    0 98304  2908 14989 2426 13  7 80  1  0  0
 1  0 859044 980124 870980 807300    0    0 57344   100 13209 2275  7  6 87  0  0  0
 1  0 859044 807440 969308 807516    0    0 98304    84 14720 1998  6  7 87  0  0  0
 1  0 859044 730840 1067628 807528    0    0 98304    56 12543 2087  7  6 87  0  0  0
 1  0 859044 661892 1174124 807660    0    0 106496     0 14568 1964  6  6 87  0  0  0
 2  0 859044 635496 1264276 807676    0    0 90112   152 15126 2545 10  7 82  0  0  0
 1  0 859044 451872 1329812 807684   12    0 65548    72 15018 2514 18  7 75  0  0  0
 1  0 859044 373272 1428148 807696    0    0 98304   100 13852 2218  8  6 86  0  0  0
 2  0 859044 348264 1526668 786416    0    0 106496   180 13586 2210  7  7 86  0  0  0
 1  0 859044 286624 1624972 786420    0    0 98304     8 14725 1932  6  7 87  0  0  0
 1  0 859044 238192 1674136 786424    0    0 49152    56 12457 1960  6  6 87  0  0  0
 1  0 859044 358136 1567896 786456    0    0 106496    12 12586 1945  7  6 87  0  0  0
 2  0 859044 299084 1547928 786512    0    0 98304    52 13603 2149 17  8 75  0  0  0
 1  0 859044 240948 1654468 786532    0    0 106496   208 15871 2818 13  7 80  0  0  0
 1  0 859044 286480 1672644 786624    0    0 49152     4 13469 1897  6  6 88  0  0  0
 1  0 859044 206476 1716448 786652    0    0 106496   100 12857 2152  7  6 87  1  0  0
 1  0 859044 218888 1692168 786632    0    0 98304  2412 13166 2292  7  6 87  1  0  0
 1  0 859044 234140 1735704 786924    0    0 106496    88 15987 1893  6  7 87  0  0  0
 2  0 859044 253856 1659944 786708    0    0 49152   140 13387 2025 11  8 82  0  0  0
 2  0 859044 212472 1607208 786728    0    0 98304     8 14330 2683 18  7 74  0  0  0
 1  0 859044 218360 1622372 786780    0    0 106528   176 13722 2628  8  6 86  0  0  0
 1  0 859044 235188 1660004 786768    0    0 98304     0 13815 1988  6  7 87  1  0  0
 2  0 859044 219836 1686932 786788    0    0 57344   140 12613 3221  7  7 86  0  0  0
 1  0 859044 253776 1665016 786612    0    0 98304   320 11342 3049  7  6 86  1  0  0
 1  0 859044 277784 1682168 786832    0    0 106496    64 14649 2109  6  7 87  0  0  0
 2  0 859044 270916 1601192 786904    0    0 41616   100 12760 2631 17  8 75  0  0  0
 1  0 859044 238916 1588048 786852    0    0 105840   176 13986 2818 14  7 78  1  0  0
 1  0 859044 205052 1664336 787052    0    0 106496     4 13128 1911  7  6 87  0  0  0
 1  0 859044 252428 1672784 787056    0    0 98304    16 14328 1983  6  6 87  0  0  0
 1  0 859044 224048 1640792 787052    0    0 57344   288 12927 1940  6  7 87  0  0  0
 1  0 859044 217020 1646456 787064    0    0 98304   140 12175 1974  7  5 87  0  0  0
 2  0 859044 233284 1660536 786912    0    0 106496    12 14450 1866 11  7 81  0  0  0
