procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0 859044 2116548  31448 799016    0   40  8363 13416 6360   13  3  1 96  0  0  0
 1  0 859044 2037700  31464 799248    4    0   228    96 2987 2257 11  2 87  0  0  0
 1  0 859044 1999156  31832 800024    0    0   572  2252 4828 4650 13  2 85  1  0  0
 0  0 859044 1982468  32844 800280    0    0  1196    64 2843 2937  3  1 96  0  0  0
 0  0 859044 1980520  32896 800364    0    0  2107   188 3833 3543  1  1 98  0  0  0
 2  0 859044 1841488  98504 800708    0    0 65872   308 5202 2333  2  2 96  0  0  0
 1  0 859044 1718376 196856 800712    0    0 98304   308 10243 2829  8  4 87  0  0  0
 1  0 859044 1625720 303396 800716    0    0 106496   196 10411 2632  8  5 87  0  0  0
 1  0 859044 1536480 401700 800724    0    0 98304     4 10127 2191  8  5 87  0  0  0
 1  0 859044 1439864 508196 800728    0    0 106496     8 11312 2265  8  5 87  0  0  0
 2  0 859044 1331476 606508 800732    0    0 98304    48 11875 2231 11  5 83  0  0  0
 2  0 859044 1147592 745780 800732    0    0 139264  2984 12180 2539 20  5 74  0  0  0
 3  0 859044 974504 860548 800900    0    0 114688   292 12667 3495 21  6 74  0  0  0
 1  0 859044 850832 967076 800928    0    0 106496   176 11448 3020 17  5 77  0  0  0
 1  0 859044 758844 1065428 800948    0    0 98304   176 10717 2558  9  5 86  0  0  0
 1  0 859044 689076 1171940 800952    0    0 106496   100 11116 2152  8  5 87  0  0  0
 1  0 859044 610280 1270272 800956    0    0 98304   184 10773 2212  8  5 86  0  0  0
 1  0 859044 511132 1376784 800968    0    0 106496   148 11991 2330  8  5 86  0  0  0
 2  0 859044 475804 1475088 800980    0    0 98304   216 11356 2293 12  6 82  0  0  0
 2  0 859044 314960 1621164 780132    0    0 155648     0 12415 2334 20  6 74  1  0  0
 1  0 859044 269032 1727660 780160    0    0 106496     0 10407 2563 13  4 82  0  0  0
 1  0 859044 292980 1701684 779764    0    0 98320  2092 12896 25456 11  6 83  0  0  0
 1  0 859044 244712 1775956 779868    0    0 106512   160 11890 2732  9  5 86  0  0  0
 1  0 859044 395868 1643612 779872    0    0 131072   132 11148 2203  8  5 86  1  0  0
 2  0 859044 264452 1766524 779880    0    0 122880   136 10926 2545  9  5 86  0  0  0
 2  0 859044 209044 1738876 779888    0    0 98304     0 10935 2408 16  6 78  0  0  0
 1  0 859044 210092 1723292 780096    0    0 106544   108 12011 3506 18  6 77  0  0  0
 1  0 859044 261164 1696928 780100    0    0 98304     8 10328 2161  8  5 86  0  0  0
 1  0 859044 250136 1709728 780108    0    0 106496    48 11332 2184  8  5 87  0  0  0
 1  0 859044 242520 1770400 780164    0    0 155648     0 11350 2167  9  5 86  0  0  0
 1  0 859044 236492 1745064 780120    0    0 98304    64 9454 2272  9  5 86  0  0  0
 2  0 859044 249980 1733496 780280    0    0 139264  2248 11485 2393 11  5 84  0  0  0
 2  0 859044 195264 1717448 780136    0    0 114688    64 12150 2651 20  6 74  0  0  0
 1  0 859044 328100 1673672 780284    0    0 106496     0 10906 2897 15  6 79  0  0  0
 1  0 859044 269380 1740776 780292    0    0 98304   144 9812 2660  9  5 86  0  0  0
 1  0 859044 321180 1688552 780300    0    0 106496     0 10453 2199  9  5 86  0  0  0
 0  1 859044 336260 1703952 780152    0    0 139264   112 10950 2624  9  5 86  0  0  0
 1  0 859044 275192 1725484 780312    0    0 114688    88 10717 2607  9  5 86  0  0  0
 2  0 859044 299884 1665756 780316    0    0 103856     8 11037 2273 13  6 80  1  0  0
 2  0 859044 222572 1674284 780336    0    0 100944     0 11809 2880 20  5 74  0  0  0
 1  0 859044 224908 1780780 780344    0    0 106496    12 11445 2111  9  5 86  0  0  0
 1  0 859044 266796 1752876 780348    0    0 98304  1856 11247 2196  8  5 87  0  0  0
 1  0 859044 258620 1759128 780192    0    0 131072    44 11887 2089  9  5 86  0  0  0
 1  0 859044 206452 1801532 780496    0    0 180224    36 11576 2291  9  4 86  0  0  0
 1  0 859044 305184 1726044 780312    0    0 270336   100 13888 2775  9  5 85  0  0  0
 2  0 859044 244760 1677660 780648    0    0 237568     0 13583 2729 20  6 73  1  0  0
 1  0 859044 260660 1714544 780684    0    0 253952   148 13731 2871 16  5 79  0  0  0
 1  0 859044 215996 1727620 780692    0    0 262144    64 13300 2460  9  5 86  1  0  0
 1  0 859044 248268 1762436 780704    0    0 253952     0 13294 2293  9  5 86  1  0  0
 1  0 859044 212968 1793420 780716    0    0 253952    36 12310 2382  9  5 86  1  0  0
 1  0 859044 212404 1793676 780728    0    0 253952    16 11997 2329  9  5 86  0  0  0
 2  0 859044 247904 1710300 780788    0    0 262144  2072 15045 4520 16  6 78  0  0  0
 2  0 859044 213836 1715964 781136    0    0 253952    88 14949 3634 21  5 73  0  0  0
 2  0 859044 234016 1755644 781948    0    0 253952     8 12759 2443 10  4 85  1  0  0
 1  0 859044 239820 1756700 782316    0    0 253952   460 13853 2592 10  5 85  0  0  0
 4  0 859044 235736 1767884 782888    0    0 262144  2272 12398 2769  9  4 86  1  0  0
 1  0 859044 228968 1772516 783648    0    0 253952   144 13415 2302  9  5 86  0  0  0
 1  0 859044 257236 1745380 784008    0    0 253952    92 12578 2292  9  4 86  1  0  0
 2  0 859044 210004 1667052 784780    0    0 229376    68 12905 2949 20  6 74  1  0  0
 2  0 859044 332748 1659116 785288    0    0 229376     0 13126 2653 16  5 78  0  0  0
 1  0 859044 256616 1734380 785892    0    0 262144     0 12706 2235  9  4 86  0  0  0
 1  0 859044 245412 1739788 786476    0    0 253952   108 11861 2439  9  4 86  1  0  0
 1  0 859044 246332 1742116 787064    0    0 253952  1812 12656 2496  9  4 86  1  0  0
 1  0 859044 210476 1744676 787660    0    0 253952    48 13023 2398  9  4 86  1  0  0
 3  0 859044 202480 1755712 788276    0    0 262160   116 12675 2825 14  5 81  1  0  0
 2  0 859044 208284 1668160 788876    0    0 253952     0 13918 2890 21  5 73  1  0  0
 1  0 859044 267260 1718108 789348    0    0 204800   108 11156 2695 11  4 84  1  0  0
 2  0 859044 224040 1698488 789916    0    0 253952    92 12577 2805  9  5 85  1  0  0
 4  0 859044 606092 1425448 790256    0    0 81936   544 8402 2995  8  5 87  0  0  0
 0  0 859044 2012084  30172 781448    0    0    48   524 3361 3193  1  3 96  0  0  0
 0  0 859044 2017884  30172 781448    0    0     0    12 1263 1307  0  0 100  0  0  0
 1  0 859044 1949716  30228 781456    0    0     0   696 2706 2001 10  1 89  0  0  0
