procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0 859556 2094360  26416 832264    0   44  5466 14651 6524   14  2  1 96  0  0  0
 1  0 859556 2008384  26452 832300    0    0     0   184 2897 1942 11  1 87  0  0  0
 1  0 859556 2018000  27732 833184   12    0  2011   936 5556 5096 13  2 85  1  0  0
 0  0 859556 2015732  27756 833600   16    0    92   232 2349 2316  1  0 99  0  0  0
 1  0 859556 2009984  27808 833848    0    0  2123   336 3746 3514  1  1 98  0  0  0
 1  0 859300 1877260  93416 833736    0    0 65616   296 4928 2218  3  1 95  1  0  0
 1  0 859300 1821424  93496 833720    0    0    16   496 3419 2259 12  1 87  0  0  0
 1  0 859300 1775072 142664 833760    0    0 49152  2840 6543 1896 11  2 87  0  0  0
 1  0 859300 1688276 191816 833760    0    0 49152     0 5901 1529 10  2 88  0  0  0
 1  0 859300 1641188 241080 833796    0    0 49152  1376 6405 2008 11  2 87  0  0  0
 2  0 859300 1575632 241096 833796    0    0     0    68 3745 1826 17  2 82  0  0  0
 2  0 859300 1513320 298448 833804   12    0 57356   144 7361 2256 22  2 75  0  0  0
 3  0 859300 1468712 347672 833856    0    0 49168   216 8053 2551 22  4 74  0  0  0
 1  0 859300 1520460 396904 833692    0    0 49232   284 8433 3658 18  4 79  0  0  0
 1  0 859300 1528516 396968 834024    0    0    16   184 3210 2301 12  1 87  0  0  0
 1  0 859300 1482744 446136 834028    0    0 49152   104 5781 1619 11  1 87  0  0  0
 1  0 859300 1427416 503528 834028    0    0 57344   320 6746 1638 10  2 87  0  0  0
 1  0 859300 1385908 552720 834032    0    0 49152   464 5852 1756 11  2 87  0  0  0
 2  0 859300 1307856 552732 834032    0    0     0  1804 3019 1559 18  1 81  0  0  0
 1  0 859300 1297988 601968 834180    0    0 49168   268 8282 3139 23  3 74  0  0  0
 2  0 859300 1241732 651372 834188    0    0 49152  2700 6379 2295 11  3 86  1  0  0
 1  0 859300 1207812 708780 834248    0    0 57376   164 7036 2281 11  2 87  0  0  0
 1  0 859300 1215580 708820 834248    0    0     0   216 4292 1881 11  1 87  0  0  0
 1  0 859300 1197204 757996 834256    0    0 49152    96 3934 1475 12  1 87  0  0  0
 2  0 859300 1153292 807204 834220    0    0 49168   168 6044 2012 11  2 87  0  0  0
 2  0 859300 1013016 856404 834300    0    0 49168   180 7608 2457 22  3 74  0  0  0
 1  0 859300 1038364 913764 834308    0    0 57344   112 6660 1915 16  3 82  0  0  0
 2  0 859300 1017212 913764 834312    0    0     0    56 2796 1460 12  2 86  0  0  0
 1  0 859300 991052 962916 834312    0    0 49152     0 5877 1342 11  2 87  0  0  0
 1  0 859300 938272 1012108 834280    0    0 49152  1652 6446 1810 10  2 87  0  0  0
 1  0 859300 943776 1028516 834324    0    0 16384   540 4424 1409 11  2 88  0  0  0
 2  0 859300 841420 1061324 834308    0    0 32768   104 4617 1626 18  1 80  0  0  0
 1  0 859300 781472 1118668 834352    0    0 57344     4 7813 2161 20  3 76  0  0  0
 1  0 859300 741196 1167820 834364    0    0 49152    60 5817 1434 11  3 87  0  0  0
 1  0 859300 714508 1167852 834384    0    0    16   116 2804 1882 12  1 87  0  0  0
 1  0 859300 696196 1217004 834384    0    0 49152     0 6338 1414 11  2 87  0  0  0
 1  0 859300 660172 1266220 834436    0    0 49200   184 6858 2114 11  2 87  0  0  0
 2  0 859300 631392 1266244 834436    0    0     0   140 3917 1856 13  2 86  0  0  0
 2  0 859300 527316 1323588 834444    0    0 57344     0 6163 1852 22  3 75  0  0  0
 2  0 859300 502176 1372772 834480    0    0 49168  1660 7751 2635 16  3 80  0  0  0
 1  0 859300 481268 1372788 834484    0    0     0   116 2919 1369 12  1 87  0  0  0
 1  0 859300 480712 1421940 834484    0    0 49152     0 6407 1460 11  2 87  0  0  0
 1  0 859300 447228 1471100 834484    0    0 49152    36 6545 1593 11  2 87  0  0  0
 0  0 859300 436760 1471124 834488    0    0     0   328 4162 1458 11  1 87  0  0  0
 2  0 859300 366312 1528504 834508    0    0 57360   196 5481 2033 17  2 80  0  0  0
 1  0 859300 362648 1577656 834524    0    0 49152     0 7164 2242 21  3 76  0  0  0
 1  0 859300 289128 1626840 834532    0    0 49152   100 6565 1651 10  2 87  0  0  0
 1  0 859300 281240 1626840 834544    0    0     0    12 4836 1771 11  2 87  0  0  0
 1  0 859300 281244 1675992 834548    0    0 49152     0 4382 1394 12  1 87  0  0  0
 2  0 859300 235336 1733348 834552    0    0 57344  1328 6871 1724 11  2 87  0  0  0
 2  0 859300 263376 1744504 802448    0    0 49152    44 8104 22772 14  3 83  0  0  0
 2  0 859300 212524 1700996 786696    0    0 49248   492 8024 2966 22  4 74  0  0  0
 1  0 859300 236168 1701004 786716    0    0     0    40 3405 2091 17  1 82  0  0  0
 1  0 859300 225868 1750156 786720    0    0 49152     0 6427 1491 11  2 87  0  0  0
 1  0 859300 271920 1714148 771868    0    0 57440   124 6642 1937 11  2 86  0  0  0
 1  0 859300 223812 1763308 771948    0    0 49152  1640 6034 1549 11  2 87  0  0  0
 1  0 859300 239312 1763308 771960    0    0     0    96 4435 1419 11  1 87  0  0  0
 2  0 859300 193908 1780732 769624    0    0 49152    48 4851 1691 19  2 79  0  0  0
 2  0 859300 312944 1735936 769720    0    0 49152     0 7588 2205 20  3 76  0  0  0
 1  0 859300 215160 1793300 769700    0    0 57344    76 6852 1684 11  2 87  0  0  0
 1  0 859300 202964 1793300 769728    0    0     0   156 3534 1356 12  1 87  0  0  0
 1  0 859300 201572 1809716 769728    0    0 49152   108 5059 1550 12  1 87  0  0  0
 1  0 859300 233908 1825852 769740    0    0 49152   104 6358 1678 11  2 87  0  0  0
 3  0 859300 190800 1809468 769872    0    0 49152    28 6278 1634 12  3 85  0  0  0
 2  0 859300 279436 1654388 769964    0    0     0   388 6247 2435 23  3 74  0  0  0
 1  0 859300 294928 1711740 769960    0    0 57408  1760 5495 1903 16  2 82  0  0  0
 1  0 859300 241220 1760956 769996    0    0 49184   172 6888 2254 11  2 87  0  0  0
 1  0 859300 251236 1810124 769996    0    0 49152   104 6325 1614 11  2 87  0  0  0
 1  0 859300 206120 1810132 770000    0    0     0   100 2381 1385 12  1 87  0  0  0
 2  0 859300 205580 1795028 770004    0    0 49152    20 7153 1647 11  2 87  0  0  0
 4  0 859300 184712 1756384 770168    0    0 57380    64 7646 2233 19  3 78  0  0  0
 1  0 859300 265588 1743352 770396    0    0 49152   292 7431 2510 20  3 76  0  0  0
 1  0 859300 265584 1743436 771176    0    0   968   212 3622 3528 14  1 84  0  0  0
 1  0 859300 209692 1792588 771176    0    0 49152    68 5482 1488 11  2 87  0  0  0
 1  0 859300 229068 1777556 771196    0    0 49152   232 5975 2242 11  2 87  0  0  0
 1  0 859300 232480 1834980 771200    0    0 57360   600 8020 3163 12  3 85  0  0  0
 2  0 859300 193204 1802212 771252    0    0     0  1856 3131 1563 14  1 85  0  0  0
 2  0 859300 205988 1724144 771408    0    0 49152    60 6827 1970 23  3 75  0  0  0
 1  0 859300 272704 1742064 771276    0    0 49152     0 5983 1948 15  3 83  0  0  0
 1  0 859300 224336 1791216 771276    0    0 49152    68 5545 1527 11  2 87  0  0  0
 1  0 859300 268600 1752324 771320    0    0 57344   224 5849 1532 11  2 87  0  0  0
 1  0 859300 262768 1752572 771336    0    0    96  1916 4201 2613 12  1 87  0  0  0
 1  0 859300 213596 1801740 771388    0    0 49152    84 4669 1603 12  1 88  0  0  0
 2  0 859300 213264 1786636 771388    0    0 49152     0 6941 1680 18  3 78  0  0  0
 1  0 859300 236104 1771836 771272    0    0  8240   272 5700 2712 20  2 78  0  0  0
 1  0 859300 220472 1741648 771448    0    0 40960   168 4023 1496 12  1 87  0  0  0
